brand_name,name,source_column,source_file
Brand_0,乐道,brand,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Brand_1,小鹏,brand,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Brand_2,传祺,brand,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Brand_3,比亚迪,brand,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Brand_4,吉利,brand,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Brand_5,领跑,brand,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Brand_6,红旗天工,brand,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Brand_7,福特,brand,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Brand_8,吉利银河,brand,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Brand_9,吉利帝豪,brand,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Brand_10,长安,brand,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Brand_11,长安深蓝,brand,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Brand_12,享界S9T,brand,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Brand_13,传祺向往S7,brand,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Brand_14,乐道L90,brand,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Brand_15,理想,brand,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Brand_16,零跑,brand,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Brand_17,蔚来,brand,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Brand_18,理想L6,brand,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Brand_19,小鹏X9增程车,brand,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Brand_20,岚图,brand,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Brand_21,比亚迪方程豹,brand,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Brand_22,埃安,brand,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Brand_23,特斯拉,brand,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Brand_24,极氪7X,brand,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Brand_25,极氪,brand,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Brand_26,北汽极狐,brand,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Brand_27,启源A06,brand,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Brand_28,腾势N9,brand,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Brand_29,奇瑞,brand,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Brand_30,AUDI,brand,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Brand_31,ht,brand,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Brand_32,智己,brand,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Brand_33,小米,brand,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Brand_34,奔驰,brand,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Brand_35,问界,brand,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Brand_36,GS3影速,brand,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Brand_37,长安启源,brand,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Brand_38,五菱星光730,brand,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Brand_39,智界,brand,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Brand_40,别克,brand,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Brand_41,智界R7,brand,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Brand_42,东风日产,brand,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Brand_43,icar,brand,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Brand_44,丰田 赛那,brand,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Brand_45,极石,brand,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
