usergroupexperience_id,name,source_column,mention_count
UserGroupExperience_0,年轻群体,brand_user_group_experience,1
UserGroupExperience_1,辅助驾驶兴趣者,brand_user_group_experience,1
UserGroupExperience_2,科技功能关注者,brand_user_group_experience,1
UserGroupExperience_3,科技爱好者,brand_user_group_experience,1
UserGroupExperience_4,时尚追求者,brand_user_group_experience,1
UserGroupExperience_5,智能技术接受者,brand_user_group_experience,1
UserGroupExperience_6,两娃家庭,brand_user_group_experience,1
UserGroupExperience_7,亲子家庭,brand_user_group_experience,1
UserGroupExperience_8,家庭用户,brand_user_group_experience,1
UserGroupExperience_9,车主群成员,brand_user_group_experience,1
UserGroupExperience_10,车主交流用户,brand_user_group_experience,1
UserGroupExperience_11,活动参与车主,brand_user_group_experience,1
UserGroupExperience_12,华为手机用户,brand_user_group_experience,1
UserGroupExperience_13,爱国用户,brand_user_group_experience,1
UserGroupExperience_14,品质追求者,brand_user_group_experience,1
UserGroupExperience_15,科技感追求者,brand_user_group_experience,1
UserGroupExperience_16,年轻用户,brand_user_group_experience,1
UserGroupExperience_17,女性车主,brand_user_group_experience,1
UserGroupExperience_18,特斯拉关注者,brand_user_group_experience,1
UserGroupExperience_19,30岁以上用户,brand_user_group_experience,1
UserGroupExperience_20,到店用户,brand_user_group_experience,1
UserGroupExperience_21,35岁以上用户,brand_user_group_experience,1
UserGroupExperience_22,品味用户,brand_user_group_experience,1
UserGroupExperience_23,35岁左右用户,brand_user_group_experience,1
UserGroupExperience_24,时尚,brand_user_group_experience,2
UserGroupExperience_25,精致,brand_user_group_experience,1
UserGroupExperience_26,沉稳,brand_user_group_experience,1
UserGroupExperience_27,25-35岁年龄段,brand_user_group_experience,1
UserGroupExperience_28,年轻人,brand_user_group_experience,1
UserGroupExperience_29,整体造型,brand_user_group_experience,1
UserGroupExperience_30,内饰空间,brand_user_group_experience,1
UserGroupExperience_31,后排放平,brand_user_group_experience,1
UserGroupExperience_32,新鲜感,brand_user_group_experience,1
UserGroupExperience_33,视觉质感,brand_user_group_experience,1
UserGroupExperience_34,触觉质感,brand_user_group_experience,1
UserGroupExperience_35,30w+售价,brand_user_group_experience,1
UserGroupExperience_36,家用,brand_user_group_experience,2
UserGroupExperience_37,性价比,brand_user_group_experience,1
UserGroupExperience_38,空间,brand_user_group_experience,1
UserGroupExperience_39,座舱,brand_user_group_experience,1
UserGroupExperience_40,智能驾驶,brand_user_group_experience,1
UserGroupExperience_41,30岁左右夫妻,brand_user_group_experience,1
UserGroupExperience_42,小家庭,brand_user_group_experience,1
UserGroupExperience_43,小商户,brand_user_group_experience,1
UserGroupExperience_44,勤俭持家,brand_user_group_experience,1
UserGroupExperience_45,年轻家庭,brand_user_group_experience,1
UserGroupExperience_46,商务接待,brand_user_group_experience,1
UserGroupExperience_47,大家庭,brand_user_group_experience,1
UserGroupExperience_48,人多出行用车,brand_user_group_experience,1
UserGroupExperience_49,中年以上,brand_user_group_experience,1
UserGroupExperience_50,务实,brand_user_group_experience,1
UserGroupExperience_51,中年,brand_user_group_experience,1
UserGroupExperience_52,35到55岁,brand_user_group_experience,1
UserGroupExperience_53,关注智驾,brand_user_group_experience,1
UserGroupExperience_54,关注配置,brand_user_group_experience,1
UserGroupExperience_55,关注智能座舱,brand_user_group_experience,1
